epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.331,1.99292,2.20757,1.76197,0.50483,0.32491,0.27373,0.09836,2.09224,2.2761,1.61564,0.000658537,0.000658537,0.000658537
2,17.9883,1.82713,1.86792,1.71983,0.55986,0.4665,0.50383,0.22373,1.99416,2.09685,1.57748,0.00128147,0.00128147,0.00128147
3,25.295,1.80572,1.80817,1.71729,0.4877,0.40834,0.39962,0.19248,1.93804,1.96294,1.52533,0.00186041,0.00186041,0.00186041
4,32.5759,1.80567,1.76466,1.71782,0.6754,0.47282,0.55288,0.24764,1.98514,1.63315,1.57194,0.001802,0.001802,0.001802
5,39.8039,1.75402,1.71141,1.68257,0.73553,0.4804,0.56731,0.23674,2.11308,1.50627,1.67881,0.001736,0.001736,0.001736
6,47.0435,1.73596,1.6778,1.67794,0.73797,0.51833,0.60423,0.24463,2.07596,1.54067,1.57859,0.00167,0.00167,0.00167
7,54.2532,1.73329,1.65548,1.66234,0.65861,0.55752,0.59567,0.26734,1.92796,1.60921,1.51393,0.001604,0.001604,0.001604
8,61.5002,1.70086,1.63826,1.65174,0.64682,0.56511,0.59463,0.29456,1.84043,1.34593,1.45154,0.001538,0.001538,0.001538
9,68.7401,1.68122,1.5906,1.62973,0.77491,0.53099,0.6339,0.29527,1.92652,1.35277,1.51578,0.001472,0.001472,0.001472
10,76.0147,1.67184,1.58206,1.62414,0.79088,0.57852,0.67581,0.28493,2.01058,1.28658,1.52978,0.001406,0.001406,0.001406
11,83.2866,1.65422,1.5494,1.6025,0.8127,0.5512,0.66629,0.31618,1.87483,1.25504,1.45519,0.00134,0.00134,0.00134
12,90.5751,1.64471,1.52135,1.59134,0.80033,0.58786,0.68038,0.30777,1.93734,1.22678,1.48121,0.001274,0.001274,0.001274
13,97.9209,1.64182,1.50794,1.57965,0.7879,0.6182,0.70717,0.30701,1.95349,1.26436,1.50781,0.001208,0.001208,0.001208
14,105.805,1.61546,1.50607,1.57382,0.76828,0.59924,0.67941,0.3079,1.98978,1.19519,1.49223,0.001142,0.001142,0.001142
15,113.678,1.61314,1.4915,1.56942,0.81494,0.59798,0.70099,0.34914,1.79187,1.12743,1.37748,0.001076,0.001076,0.001076
16,121.547,1.62541,1.48631,1.57121,0.7656,0.6397,0.71816,0.36856,1.763,1.1535,1.38744,0.00101,0.00101,0.00101
17,129.338,1.58223,1.46143,1.54957,0.80038,0.64981,0.71806,0.33425,1.88746,1.08803,1.43278,0.000944,0.000944,0.000944
18,137.182,1.56941,1.40765,1.53206,0.78561,0.62326,0.72347,0.33448,1.8904,1.14855,1.4408,0.000878,0.000878,0.000878
19,145.017,1.57281,1.42,1.52468,0.826,0.6397,0.7348,0.36483,1.80246,1.07893,1.39919,0.000812,0.000812,0.000812
20,152.886,1.57176,1.41125,1.52324,0.82665,0.61062,0.72595,0.34468,1.90142,1.09028,1.42265,0.000746,0.000746,0.000746
21,178.007,1.46193,1.23941,1.43363,0.8217,0.63503,0.7335,0.36456,1.78301,1.02944,1.38268,0.00068,0.00068,0.00068
22,184.955,1.4175,1.16876,1.41517,0.83546,0.62906,0.7317,0.37431,1.72813,1.02271,1.33974,0.000614,0.000614,0.000614
23,191.873,1.4179,1.16618,1.40416,0.84942,0.62705,0.73302,0.34669,1.88013,1.03381,1.42097,0.000548,0.000548,0.000548
24,198.848,1.3913,1.11543,1.38512,0.81783,0.64855,0.75172,0.37748,1.792,0.99367,1.36479,0.000482,0.000482,0.000482
25,205.837,1.39238,1.0898,1.37681,0.82034,0.67537,0.76689,0.40315,1.68302,0.97976,1.33125,0.000416,0.000416,0.000416
26,213.085,1.37675,1.08803,1.37284,0.80735,0.66625,0.76208,0.39774,1.68334,0.93792,1.31585,0.00035,0.00035,0.00035
27,220.636,1.3593,1.06234,1.36148,0.84288,0.66462,0.76754,0.39941,1.70852,0.92513,1.31847,0.000284,0.000284,0.000284
28,228.084,1.34501,1.04526,1.3438,0.84201,0.67375,0.7681,0.40532,1.70345,0.91949,1.30977,0.000218,0.000218,0.000218
29,235.679,1.34702,1.03151,1.34384,0.82396,0.68647,0.77253,0.40544,1.70687,0.91496,1.32403,0.000152,0.000152,0.000152
30,242.992,1.31345,1.01374,1.32142,0.82885,0.68394,0.77781,0.40675,1.70752,0.9127,1.31887,8.6e-05,8.6e-05,8.6e-05
