epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.28151,2.16237,30.7621,1.85885,0.004,0.5,0.01131,0.01131,0.66027,28.3728,0.6446,9.996e-05,9.996e-05,9.996e-05
2,14.0817,2.04939,20.1094,1.77257,0.31935,0.5,0.50079,0.25204,0.88706,23.1989,0.72932,0.000194506,0.000194506,0.000194506
3,19.7106,1.97334,13.3794,1.72224,0.97208,0.5,0.51913,0.22063,1.04625,16.1292,0.78667,0.000274757,0.000274757,0.000274757
4,29.9535,1.7182,9.03955,1.57304,0.62738,1,0.995,0.74625,0.92831,8.67918,0.7368,0.000340714,0.000340714,0.000340714
5,35.6239,1.60552,6.79802,1.47616,0.85487,1,0.995,0.796,0.89551,4.61894,0.72782,0.000392376,0.000392376,0.000392376
6,59.427,1.49753,5.68021,1.37673,0.93719,1,0.995,0.74625,0.97532,2.32588,0.75586,0.000429745,0.000429745,0.000429745
7,64.8098,1.43804,4.88306,1.32754,0.9516,1,0.995,0.69788,0.99287,2.31737,0.78495,0.000452819,0.000452819,0.000452819
8,68.055,1.34656,4.30098,1.28283,0.89546,1,0.995,0.6965,1.13368,2.13908,0.87866,0.000448154,0.000448154,0.000448154
9,69.3778,1.3461,3.84985,1.24018,0.94865,1,0.995,0.6965,1.18167,1.98922,0.92127,0.000393176,0.000393176,0.000393176
10,70.6767,1.24524,3.41255,1.20496,0.94759,1,0.995,0.74625,1.14239,1.99652,0.91566,0.000338198,0.000338198,0.000338198
11,71.9698,1.26599,3.25597,1.20196,0.96864,1,0.995,0.796,1.06072,1.82227,0.88482,0.00028322,0.00028322,0.00028322
12,73.3506,1.22715,3.14936,1.16945,0.94942,1,0.995,0.796,0.97417,2.0647,0.86127,0.000228242,0.000228242,0.000228242
13,74.7052,1.23132,3.04639,1.17721,0.93427,1,0.995,0.796,0.96679,2.21964,0.86318,0.000173264,0.000173264,0.000173264
14,76.0284,1.1789,2.92683,1.15192,0.92108,1,0.995,0.796,0.93504,2.22746,0.84487,0.000118286,0.000118286,0.000118286
15,77.352,1.17753,2.89954,1.14679,0.91801,1,0.995,0.796,0.91894,2.20159,0.83571,6.3308e-05,6.3308e-05,6.3308e-05
