epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.0052,0.84179,0.63053,1.04365,0.70434,0.68459,0.71643,0.48493,0.94816,0.68646,0.96465,0.00123855,0.00099759,0.00099759
2,99.3922,0.86105,0.66073,1.06044,0.62137,0.74792,0.70902,0.48892,0.91072,0.66875,0.95378,0.000999315,0.000999315,0.000999315
3,147.395,0.84863,0.64378,1.05207,0.67782,0.74129,0.71824,0.49463,0.90771,0.66329,0.93702,0.000997264,0.000997264,0.000997264
4,193.393,0.83711,0.63367,1.04877,0.616,0.78833,0.71755,0.49368,0.88406,0.64569,0.93225,0.00099385,0.00099385,0.00099385
5,239.515,0.8282,0.62845,1.04599,0.67108,0.79992,0.79564,0.55224,0.87633,0.6369,0.92785,0.000989085,0.000989085,0.000989085
6,286.799,0.82196,0.61926,1.04009,0.63721,0.80265,0.80722,0.56021,0.85554,0.61523,0.90981,0.00098298,0.00098298,0.00098298
7,355.302,0.81457,0.60959,1.03923,0.69892,0.77486,0.78178,0.54237,0.90449,0.62419,0.93239,0.000975553,0.000975553,0.000975553
8,490.131,0.81203,0.60906,1.0359,0.68227,0.78539,0.79244,0.56286,0.82836,0.60908,0.90732,0.000966823,0.000966823,0.000966823
9,640.658,0.79893,0.59878,1.02963,0.70915,0.73353,0.7708,0.54761,0.85713,0.62745,0.917,0.000956816,0.000956816,0.000956816
10,686.821,0.7894,0.5933,1.02542,0.68006,0.78832,0.81433,0.5833,0.8426,0.61851,0.90696,0.000945558,0.000945558,0.000945558
11,732.877,0.78681,0.58619,1.02378,0.68507,0.79141,0.786,0.56221,0.84451,0.62399,0.91287,0.00093308,0.00093308,0.00093308
12,779.249,0.78228,0.58003,1.01943,0.73584,0.73905,0.75273,0.54215,0.84159,0.59703,0.89713,0.000919416,0.000919416,0.000919416
13,825.175,0.77597,0.57676,1.01821,0.67637,0.78543,0.78039,0.56392,0.8319,0.59365,0.89636,0.000904604,0.000904604,0.000904604
14,872.793,0.7698,0.57035,1.01223,0.6995,0.77819,0.79572,0.57211,0.82914,0.58811,0.89985,0.000888684,0.000888684,0.000888684
15,920.419,0.76928,0.56927,1.01465,0.65146,0.83076,0.81674,0.58696,0.82306,0.60409,0.9001,0.000871701,0.000871701,0.000871701
16,1017.02,0.75808,0.56228,1.00916,0.6354,0.80537,0.80647,0.59288,0.81289,0.59311,0.89484,0.0008537,0.0008537,0.0008537
17,1112.5,0.75416,0.55514,1.00553,0.67522,0.80125,0.81004,0.59388,0.81596,0.58699,0.89578,0.000834731,0.000834731,0.000834731
18,1798.34,0.74888,0.55184,1.00497,0.67358,0.77824,0.76363,0.55739,0.80966,0.58391,0.89558,0.000814846,0.000814846,0.000814846
19,1886.65,0.74442,0.54734,1.00191,0.66292,0.80131,0.7902,0.56929,0.80879,0.58474,0.8945,0.000794099,0.000794099,0.000794099
20,1935.58,0.73915,0.53972,0.9994,0.67039,0.82194,0.81195,0.58507,0.81255,0.57701,0.89624,0.000772547,0.000772547,0.000772547
21,1984.5,0.73014,0.53843,0.99433,0.70911,0.80477,0.80633,0.58637,0.79598,0.5713,0.88693,0.00075025,0.00075025,0.00075025
22,2033.47,0.72775,0.53501,0.99259,0.67206,0.76551,0.79298,0.57031,0.79911,0.5661,0.87642,0.000727268,0.000727268,0.000727268
23,2082.29,0.72836,0.53132,0.99045,0.66032,0.80388,0.76863,0.56012,0.80753,0.58097,0.89706,0.000703665,0.000703665,0.000703665
24,2131.44,0.72102,0.52534,0.99038,0.68715,0.79286,0.82065,0.60226,0.80751,0.57633,0.89133,0.000679505,0.000679505,0.000679505
25,2181.2,0.71395,0.52007,0.98646,0.67344,0.8036,0.78625,0.57474,0.79945,0.58174,0.88319,0.000654854,0.000654854,0.000654854
26,2230.8,0.71228,0.51794,0.98487,0.64965,0.81989,0.79304,0.57543,0.79141,0.57562,0.88892,0.00062978,0.00062978,0.00062978
27,2280.59,0.70575,0.51186,0.98136,0.7153,0.73088,0.80092,0.58807,0.78391,0.56885,0.88306,0.000604352,0.000604352,0.000604352
28,2330.39,0.70034,0.50764,0.98018,0.66335,0.81877,0.77904,0.56899,0.80809,0.58549,0.89555,0.000578639,0.000578639,0.000578639
29,2380.33,0.69431,0.5068,0.97817,0.68074,0.78111,0.80929,0.59569,0.79143,0.58407,0.88847,0.000552712,0.000552712,0.000552712
30,3359.45,0.69177,0.50245,0.97347,0.67286,0.813,0.7964,0.58606,0.78161,0.57316,0.87916,0.000526642,0.000526642,0.000526642
31,3407.69,0.68834,0.49503,0.97222,0.6629,0.83089,0.7944,0.58929,0.79263,0.56464,0.88983,0.0005005,0.0005005,0.0005005
32,3456.7,0.68228,0.49288,0.97067,0.66325,0.79447,0.79499,0.59144,0.77671,0.56574,0.88515,0.000474358,0.000474358,0.000474358
33,3505.54,0.67913,0.48934,0.96857,0.69656,0.80818,0.80483,0.5941,0.79205,0.57549,0.89027,0.000448288,0.000448288,0.000448288
34,3554.42,0.67249,0.48341,0.96743,0.69274,0.77705,0.76791,0.56812,0.78399,0.58408,0.88685,0.000422361,0.000422361,0.000422361
35,3603.37,0.66342,0.47741,0.96378,0.68136,0.83625,0.80219,0.59316,0.77476,0.57667,0.88159,0.000396648,0.000396648,0.000396648
36,3652.33,0.66188,0.47449,0.96209,0.67557,0.82932,0.78395,0.58147,0.77991,0.57895,0.89068,0.00037122,0.00037122,0.00037122
37,3701.29,0.65952,0.46906,0.96015,0.67569,0.81865,0.80018,0.59304,0.76991,0.56697,0.88499,0.000346146,0.000346146,0.000346146
38,3750.07,0.65305,0.46457,0.95668,0.66965,0.78251,0.79299,0.5902,0.80447,0.65023,0.91441,0.000321495,0.000321495,0.000321495
39,3798.82,0.64895,0.46147,0.9557,0.66027,0.8344,0.79687,0.58746,0.80834,0.64542,0.91833,0.000297335,0.000297335,0.000297335
40,3847.91,0.64558,0.45968,0.9537,0.69061,0.81964,0.80129,0.5941,0.78036,0.57386,0.89032,0.000273732,0.000273732,0.000273732
41,3896.87,0.64245,0.45718,0.95129,0.70366,0.80476,0.80203,0.59791,0.7772,0.57242,0.88957,0.00025075,0.00025075,0.00025075
